Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,3880.0,3920.0,3870.0,3900.0,3900.0,49796000
2023-03-06,3940.0,3950.0,3870.0,3880.0,3880.0,50103800
2023-03-07,3890.0,3910.0,3850.0,3880.0,3880.0,59086800
2023-03-08,3850.0,3940.0,3850.0,3940.0,3940.0,78551000
2023-03-09,3970.0,4000.0,3960.0,3970.0,3970.0,68725500
2023-03-10,3960.0,4020.0,3930.0,4010.0,4010.0,76136200
2023-03-13,4020.0,4090.0,3980.0,4070.0,4070.0,104663300
2023-03-14,4030.0,4090.0,4000.0,4020.0,4020.0,111430100
2023-03-15,4050.0,4050.0,3990.0,4010.0,4010.0,65025400
2023-03-16,4040.0,4060.0,3980.0,4050.0,4050.0,96707900
2023-03-17,4090.0,4100.0,4030.0,4050.0,4050.0,232270900
2023-03-20,4050.0,4050.0,3940.0,3990.0,3990.0,105982700
2023-03-21,4000.0,4120.0,4000.0,4120.0,4120.0,88808200
2023-03-24,4100.0,4120.0,4060.0,4070.0,4070.0,96214700
2023-03-27,4100.0,4120.0,4030.0,4050.0,4050.0,71556400
2023-03-28,4100.0,4100.0,4030.0,4050.0,4050.0,87955300
2023-03-29,4090.0,4120.0,4070.0,4100.0,4100.0,113504700
2023-03-30,4050.0,4130.0,4040.0,4090.0,4090.0,87690800
2023-03-31,4110.0,4120.0,4040.0,4060.0,4060.0,93699000
2023-04-03,4100.0,4100.0,4070.0,4080.0,4080.0,56896200
2023-04-04,4080.0,4100.0,4040.0,4060.0,4060.0,82969200
2023-04-05,4100.0,4170.0,4080.0,4150.0,4150.0,70419100
2023-04-06,4200.0,4270.0,4170.0,4250.0,4250.0,125329700
2023-04-10,4250.0,4300.0,4190.0,4300.0,4300.0,85757900
2023-04-11,4290.0,4300.0,4250.0,4300.0,4300.0,84322900
2023-04-12,4320.0,4350.0,4260.0,4310.0,4310.0,178923700
2023-04-13,4340.0,4350.0,4290.0,4340.0,4340.0,119431600
2023-04-14,4340.0,4360.0,4320.0,4340.0,4340.0,117305500
2023-04-17,4340.0,4340.0,4250.0,4270.0,4270.0,59688000
2023-04-18,4240.0,4280.0,4230.0,4270.0,4270.0,65644600
2023-04-26,4480.0,4500.0,4330.0,4400.0,4400.0,198984100
2023-04-27,4450.0,4450.0,4300.0,4320.0,4320.0,58407000
2023-04-28,4270.0,4320.0,4220.0,4250.0,4250.0,112116900
2023-05-02,4210.0,4220.0,4130.0,4190.0,4190.0,117097400
2023-05-03,4200.0,4200.0,4080.0,4150.0,4150.0,158597800
2023-05-04,4170.0,4190.0,4140.0,4150.0,4150.0,98421300
2023-05-05,4160.0,4170.0,4080.0,4170.0,4170.0,113408100
2023-05-08,4170.0,4180.0,4040.0,4060.0,4060.0,121002600
2023-05-09,4050.0,4090.0,4030.0,4070.0,4070.0,105907900
2023-05-10,4050.0,4130.0,4040.0,4130.0,4130.0,84306600
2023-05-11,4100.0,4120.0,4060.0,4090.0,4090.0,74171300
2023-05-12,4050.0,4050.0,3950.0,3980.0,3980.0,236777600
2023-05-15,3990.0,3990.0,3930.0,3980.0,3980.0,113329300
2023-05-16,4020.0,4020.0,3940.0,3980.0,3980.0,68777200
2023-05-17,3980.0,4020.0,3960.0,3990.0,3990.0,83183300
2023-05-19,3990.0,4060.0,3970.0,4020.0,4020.0,95986000
